"id","alias","file","ok","skipped","issue","error","load_ok","params_ok","yaml_ok","packages","params","extra_yaml","missing_docs","coverage_gaps_atomic","coverage_gaps"
"italian_village_continued","9.2","italian_village_continued.R",FALSE,FALSE,"yaml_extra_params","YAML params not in design: linear_hypothesis",TRUE,TRUE,FALSE,"","","linear_hypothesis","","",""
"multi_site_studies","19.4","multi_site_studies.R",FALSE,FALSE,"yaml_extra_params","YAML params not in design: method",TRUE,TRUE,FALSE,"metafor","study_sizes, study_intercepts, study_priors, study_coordination, study_assignment_probabilities","method","","",""
"population_estimands","7.1","population_estimands.R",FALSE,FALSE,"yaml_extra_params","YAML params not in design: superpopulation_mean",TRUE,TRUE,FALSE,"","N, n","superpopulation_mean","","",""
"process_tracing","16.1b","process_tracing.R",FALSE,FALSE,"yaml_extra_params","YAML params not in design: query",TRUE,TRUE,FALSE,"rdss, CausalQueries","strategies","query","","",""
"random_forests","19.1","random_forests.R",FALSE,FALSE,"yaml_extra_params","YAML params not in design: share_train",TRUE,TRUE,FALSE,"","covariate_names","share_train","","",""
"structural_estimation","19.2","structural_estimation.R",FALSE,FALSE,"yaml_extra_params","YAML params not in design: method",TRUE,TRUE,FALSE,"bbmle","alpha, n, kappa, delta","method","","",""
"network_experiment","18.13","network_experiment.R",TRUE,TRUE,"disabled","functional: false (parked; skipped by audit)",FALSE,FALSE,FALSE,"rdss, spdep, interference, tidyverse","","","","",""
"cluster_random_sampling","15.3","cluster_random_sampling.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","state_mean, locality_shock, individual_shock, cluster_prob","","locality_shock, individual_shock","",""
"conditional_expectation","11.4","conditional_expectation.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"purrr, tibble, dplyr, tidyr, stringr","x_range","","","polynomial_degrees","polynomial_degrees"
"audit_experiment","17.1","audit_experiment.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","","","","",""
"audit_intervention","17.2","audit_intervention.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","","","","",""
"bare_bones_two_arm","11.3","bare_bones_two_arm.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, prob","","","",""
"baseline_over_N","11.1","baseline_over_N.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N","","","",""
"block_randomized_trial","18.4","block_randomized_trial.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, b","","","",""
"blocked_and_clustered","18.5","blocked_and_clustered.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N_clusters, ICC","","","",""
"bootstrapped","9.5","bootstrapped.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss","","","","",""
"conjoint","17.5","conjoint.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, cjoint, dplyr, purrr","N_subjects, N_tasks","","","","levels_list"
