"id","alias","file","ok","skipped","issue","error","load_ok","params_ok","yaml_ok","packages","params","extra_yaml","missing_docs","coverage_gaps_atomic","coverage_gaps"
"covariate_adjustment","18.2","covariate_adjustment.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, r_sq, prob","","","",""
"declaration_using_declare","10.1","declaration_using_declare.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","","","","",""
"design_10_2","10.2","design_10_2.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","","","","",""
"design_10_4","10.4","design_10_4.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","effect_size","","","",""
"diff_in_diff","16.3","diff_in_diff.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, DIDmultiplegt, dplyr","N_units, N_time_periods","","","",""
"encouragement","18.8","encouragement.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","N, share_always_takers, share_never_takers, share_compliers, share_defiers","","","",""
"example_declaration","5.1","example_declaration.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","","","","",""
"factorial_2x2","18.7","factorial_2x2.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, CATE_Z1_Z2_0, CATE_Z2_Z1_0, interaction","","","",""
"instrumental_variables","16.4","instrumental_variables.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","N, a, b, prob","","","",""
"italian_village","9.1","italian_village.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","","","","",""
"italian_village_bayes","9.3","italian_village_bayes.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, rstanarm","","","","",""
"latent_variables","15.6","latent_variables.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N","","","",""
"lin_estimator","18.3","lin_estimator.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","control_slope, prob","","","",""
"linear_regression","13.1","linear_regression.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","","","","",""
"list_experiment","17.3","list_experiment.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","","","","",""
"list_or_direct_questions","17.4","list_or_direct_questions.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","N, proportion_hiding","","","",""
"logit_probit_ols","11.5","logit_probit_ols.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"margins, broom","N, b","","","",""
"matching","16.2","matching.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"MatchIt","N, ate","","","",""
"multilevel","15.4","multilevel.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, lme4, dplyr, tibble","","","","",""
"multilevel_answer_strategies","15.5","multilevel_answer_strategies.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, lme4, dplyr, tibble","","","","",""
"pate_with_sampling","4.1","pate_with_sampling.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, b, n, prob","","","",""
"randomization_inference","9.7","randomization_inference.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","block_m","","","",""
"randomized_saturation","18.12","randomized_saturation.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N_groups, N_per_group, effect_Z, effect_S_low, effect_S_high","","","",""
"regression_discontinuity","16.5","regression_discontinuity.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, rdrobust","cutoff","","","",""
"regression_discontinuity_fuzzy","16.6","regression_discontinuity_fuzzy.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"rdss, rdrobust","cutoff, bandwidth","","","",""
"simple_random_sampling","15.1","simple_random_sampling.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","cuts, sample_size","","","",""
"single_period_two_arm","18.11","single_period_two_arm.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","n_units, effect_size","","","",""
"stepped_wedge","18.10","stepped_wedge.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","effect_size","","","",""
"subgroup_effects","18.6","subgroup_effects.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","total_n, n_x1","","","",""
"survey_nonresponse","15.2","survey_nonresponse.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"dplyr","effort","","","",""
"trust_game","17.6","trust_game.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","n_pairs, deceive","","","",""
"two_arm_randomized_experiment","13.2","two_arm_randomized_experiment.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","","","","",""
"two_arm_trial","","two_arm_trial.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, b","","","",""
"two_arm_trial_library","18.1","two_arm_trial_library.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, b","","","",""
"two_arm_trial_rdss","2.1","two_arm_trial_rdss.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N, b, n","","","",""
"two_arm_with_blocks","","two_arm_with_blocks.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","k, block_size, b","","","",""
"two_arm_with_blocks_rdss","2.2","two_arm_with_blocks_rdss.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","b","","","",""
"two_outcome_model_a","10.3a","two_outcome_model_a.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","n","","","",""
"two_outcome_model_b","10.3b","two_outcome_model_b.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","","","","",""
"uncertainty_over_effect_size","11.2","uncertainty_over_effect_size.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","N","","","",""
"village_campaign","12.1a","village_campaign.R",TRUE,FALSE,"","",TRUE,TRUE,TRUE,"","n_villages, citizens_per_village","","","",""
